instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,False,6,1,0.24,0.2879,0.81,0.0,3,13,16.0
2,2011-01-01,1,0,1,1,False,6,1,0.22,0.2727,0.8,0.0,8,32,40.0
3,2011-01-01,1,0,1,2,False,6,1,0.22,0.2727,0.8,0.0,5,27,32.0
4,2011-01-01,1,0,1,3,False,6,1,0.24,0.2879,0.75,0.0,3,10,13.0
5,2011-01-01,1,0,1,4,False,6,1,0.24,0.2879,0.75,0.0,0,1,1.0
6,2011-01-01,1,0,1,5,False,6,2,0.24,0.2576,0.75,0.0896,0,1,1.0
7,2011-01-01,1,0,1,6,False,6,1,0.22,0.2727,0.8,0.0,2,0,2.0
8,2011-01-01,1,0,1,7,False,6,1,0.2,0.2576,0.86,0.0,1,2,3.0
9,2011-01-01,1,0,1,8,False,6,1,0.24,0.197,0.75,0.0,1,7,8.0
10,2011-01-01,1,0,1,9,False,6,1,0.32,0.3485,0.76,0.0,8,6,14.0
11,2011-01-01,1,0,1,10,False,6,1,0.38,0.3939,0.76,0.2537,12,24,36.0
12,2011-01-01,1,0,1,11,False,6,1,0.36,0.3333,0.81,0.2836,26,30,56.0
13,2011-01-01,1,0,1,12,False,6,1,0.42,0.4242,0.77,0.2836,29,55,84.0
14,2011-01-01,1,0,1,13,False,6,2,0.46,0.4545,0.72,0.2985,47,47,94.0
15,2011-01-01,1,0,1,14,False,6,2,0.46,0.4545,0.72,0.2836,35,71,106.0
16,2011-01-01,1,0,1,15,False,6,2,0.44,0.4394,0.77,0.2985,40,70,110.0
17,2011-01-01,1,0,1,16,False,6,2,0.42,0.4242,0.82,0.2985,41,52,93.0
18,2011-01-01,1,0,1,17,False,6,2,0.44,0.197,0.82,0.2836,15,52,67.0
19,2011-01-01,1,0,1,18,False,6,3,0.42,0.4242,0.88,0.2537,9,26,35.0
20,2011-01-01,1,0,1,19,False,6,3,0.42,0.4242,0.88,0.2537,6,31,37.0
21,2011-01-01,1,0,1,20,False,6,2,0.4,0.4091,0.87,0.2537,11,25,36.0
22,2011-01-01,1,0,1,21,False,6,2,0.4,0.4091,0.87,0.194,3,31,34.0
23,2011-01-01,1,0,1,22,False,6,2,0.4,0.4091,0.94,0.2239,11,17,28.0
24,2011-01-01,1,0,1,23,False,6,2,0.46,0.197,0.88,0.2985,15,24,39.0
25,2011-01-02,1,0,1,0,False,0,2,0.46,0.4545,0.88,0.2985,4,13,17.0
26,2011-01-02,1,0,1,1,False,0,2,0.44,0.4394,0.94,0.2537,1,16,17.0
27,2011-01-02,1,0,1,2,False,0,2,0.42,0.4242,1.0,0.2836,1,8,9.0
28,2011-01-02,1,0,1,3,False,0,2,0.46,0.4545,0.94,0.194,2,4,6.0
29,2011-01-02,1,0,1,4,False,0,2,0.46,0.197,0.94,0.194,2,1,3.0
30,2011-01-02,1,0,1,6,False,0,3,0.42,0.4242,0.77,0.2985,0,2,2.0
31,2011-01-02,1,0,1,7,False,0,2,0.4,0.4091,0.76,0.194,0,1,1.0
32,2011-01-02,1,0,1,8,False,0,3,0.4,0.4091,0.71,0.2239,0,8,8.0
33,2011-01-02,1,0,1,9,False,0,2,0.38,0.197,0.76,0.2239,1,19,20.0
34,2011-01-02,1,0,1,10,False,0,2,0.36,0.3485,0.81,0.2239,7,46,53.0
35,2011-01-02,1,0,1,11,False,0,2,0.36,0.3333,0.71,0.2537,16,54,70.0
36,2011-01-02,1,0,1,12,False,0,2,0.36,0.3333,0.66,0.2985,20,73,93.0
37,2011-01-02,1,0,1,13,False,0,2,0.36,0.3485,0.66,0.1343,11,64,75.0
38,2011-01-02,1,0,1,14,False,0,3,0.36,0.197,0.76,0.194,4,55,59.0
39,2011-01-02,1,0,1,15,False,0,3,0.34,0.3333,0.81,0.1642,19,55,74.0
40,2011-01-02,1,0,1,16,False,0,3,0.34,0.3333,0.71,0.1642,9,67,76.0
41,2011-01-02,1,0,1,17,False,0,1,0.34,0.3333,0.57,0.194,7,58,65.0
42,2011-01-02,1,0,1,18,False,0,2,0.36,0.3333,0.46,0.3284,10,43,53.0
43,2011-01-02,1,0,1,19,False,0,1,0.32,0.2879,0.42,0.4478,1,29,30.0
44,2011-01-02,1,0,1,20,False,0,1,0.3,0.197,0.39,0.3582,5,17,22.0
45,2011-01-02,1,0,1,21,False,0,1,0.26,0.2273,0.44,0.3284,11,20,31.0
46,2011-01-02,1,0,1,22,False,0,1,0.24,0.2121,0.44,0.2985,0,9,9.0
47,2011-01-02,1,0,1,23,False,0,1,0.22,0.2273,0.47,0.1642,0,8,8.0
48,2011-01-03,1,0,1,0,False,1,1,0.22,0.197,0.44,0.3582,0,5,5.0
49,2011-01-03,1,0,1,1,False,1,1,0.2,0.197,0.44,0.4179,0,2,2.0
50,2011-01-03,1,0,1,4,False,1,1,0.16,0.1364,0.47,0.3881,0,1,1.0
51,2011-01-03,1,0,1,5,False,1,1,0.16,0.1364,0.47,0.2836,0,3,3.0
52,2011-01-03,1,0,1,6,False,1,1,0.14,0.1061,0.5,0.3881,0,30,30.0
53,2011-01-03,1,0,1,7,False,1,1,0.14,0.1364,0.5,0.194,1,63,64.0
54,2011-01-03,1,0,1,8,False,1,1,0.14,0.1212,0.5,0.2836,1,153,154.0
55,2011-01-03,1,0,1,9,False,1,1,0.16,0.1364,0.43,0.3881,7,81,88.0
56,2011-01-03,1,0,1,10,False,1,1,0.18,0.1667,0.43,0.2537,11,33,44.0
57,2011-01-03,1,0,1,11,False,1,1,0.2,0.1818,0.4,0.3284,10,41,51.0
58,2011-01-03,1,0,1,12,False,1,1,0.22,0.2121,0.35,0.2985,13,48,61.0
59,2011-01-03,1,0,1,13,False,1,1,0.24,0.197,0.35,0.2836,8,53,61.0
60,2011-01-03,1,0,1,14,False,1,1,0.26,0.2424,0.3,0.2836,11,66,77.0
61,2011-01-03,1,0,1,15,False,1,1,0.26,0.2424,0.3,0.2537,14,58,72.0
62,2011-01-03,1,0,1,16,False,1,1,0.26,0.2424,0.3,0.2537,9,67,76.0
63,2011-01-03,1,0,1,17,False,1,1,0.24,0.2273,0.3,0.2239,11,146,157.0
64,2011-01-03,1,0,1,18,False,1,1,0.24,0.2576,0.32,0.1045,9,148,157.0
65,2011-01-03,1,0,1,19,False,1,1,0.2,0.2576,0.47,0.0,8,102,110.0
66,2011-01-03,1,0,1,20,False,1,1,0.2,0.197,0.47,0.1045,3,49,52.0
67,2011-01-03,1,0,1,21,False,1,1,0.18,0.197,0.64,0.1343,3,49,52.0
68,2011-01-03,1,0,1,22,False,1,1,0.14,0.1515,0.69,0.1343,0,20,20.0
69,2011-01-03,1,0,1,23,False,1,1,0.18,0.2121,0.55,0.1045,1,11,12.0
70,2011-01-04,1,0,1,0,False,2,1,0.16,0.197,0.55,0.1045,0,5,5.0
71,2011-01-04,1,0,1,1,False,2,1,0.16,0.1818,0.59,0.1045,0,2,2.0
72,2011-01-04,1,0,1,2,False,2,1,0.14,0.1515,0.63,0.1343,0,1,1.0
73,2011-01-04,1,0,1,4,False,2,1,0.14,0.1818,0.63,0.0896,0,2,2.0
74,2011-01-04,1,0,1,5,False,2,1,0.12,0.1515,0.68,0.1045,0,4,4.0
75,2011-01-04,1,0,1,6,False,2,1,0.12,0.1515,0.74,0.1045,0,36,36.0
76,2011-01-04,1,0,1,7,False,2,1,0.12,0.1515,0.74,0.1343,2,92,94.0
77,2011-01-04,1,0,1,8,False,2,1,0.14,0.1515,0.69,0.1642,2,177,179.0
78,2011-01-04,1,0,1,9,False,2,1,0.16,0.1515,0.64,0.2239,2,98,100.0
79,2011-01-04,1,0,1,10,False,2,2,0.16,0.1364,0.69,0.3284,5,37,42.0
80,2011-01-04,1,0,1,11,False,2,1,0.22,0.2121,0.51,0.2985,7,50,57.0
81,2011-01-04,1,0,1,12,False,2,1,0.22,0.2273,0.51,0.1642,12,66,78.0
82,2011-01-04,1,0,1,13,False,2,1,0.24,0.2273,0.56,0.194,18,79,97.0
83,2011-01-04,1,0,1,14,False,2,1,0.26,0.2576,0.52,0.2239,9,54,63.0
84,2011-01-04,1,0,1,15,False,2,1,0.28,0.2727,0.52,0.2537,17,48,65.0
85,2011-01-04,1,0,1,16,False,2,1,0.3,0.2879,0.49,0.2537,15,68,83.0
86,2011-01-04,1,0,1,17,False,2,1,0.28,0.2727,0.48,0.2239,10,202,49.0
87,2011-01-04,1,0,1,18,False,2,1,0.26,0.2576,0.48,0.194,3,179,182.0
88,2011-01-04,1,0,1,19,False,2,1,0.24,0.2576,0.48,0.1045,2,110,112.0
89,2011-01-04,1,0,1,20,False,2,1,0.24,0.2576,0.48,0.1045,1,53,54.0
90,2011-01-04,1,0,1,21,False,2,1,0.22,0.2727,0.64,0.0,0,48,48.0
91,2011-01-04,1,0,1,22,False,2,1,0.22,0.2576,0.64,0.0896,1,34,35.0
92,2011-01-04,1,0,1,23,False,2,1,0.2,0.2273,0.69,0.0896,2,9,11.0
93,2011-01-05,1,0,1,0,False,3,1,0.2,0.2576,0.64,0.0,0,6,6.0
94,2011-01-05,1,0,1,1,False,3,1,0.16,0.197,0.74,0.0896,0,6,6.0
95,2011-01-05,1,0,1,2,False,3,1,0.16,0.197,0.74,0.0896,0,2,2.0
96,2011-01-05,1,0,1,4,False,3,1,0.24,0.2273,0.48,0.2239,0,2,2.0
97,2011-01-05,1,0,1,5,False,3,1,0.22,0.2273,0.47,0.1642,0,3,3.0
98,2011-01-05,1,0,1,6,False,3,1,0.2,0.197,0.47,0.2239,0,33,33.0
99,2011-01-05,1,0,1,7,False,3,1,0.18,0.1818,0.43,0.194,1,87,88.0
100,2011-01-05,1,0,1,8,False,3,1,0.2,0.1818,0.4,0.2985,3,192,49.0
101,2011-01-05,1,0,1,9,False,3,1,0.22,0.197,0.37,0.3284,6,109,115.0
102,2011-01-05,1,0,1,10,False,3,1,0.22,0.197,0.37,0.3284,4,53,57.0
103,2011-01-05,1,0,1,11,False,3,1,0.26,0.2273,0.33,0.3284,12,34,46.0
104,2011-01-05,1,0,1,12,False,3,1,0.26,0.2273,0.33,0.3284,5,74,79.0
105,2011-01-05,1,0,1,13,False,3,1,0.28,0.2576,0.3,0.2985,6,65,71.0
106,2011-01-05,1,0,1,14,False,3,1,0.3,0.2879,0.28,0.194,10,52,62.0
107,2011-01-05,1,0,1,15,False,3,1,0.3,0.2879,0.28,0.194,7,55,62.0
108,2011-01-05,1,0,1,16,False,3,1,0.3,0.3182,0.28,0.0896,4,85,89.0
109,2011-01-05,1,0,1,17,False,3,1,0.24,0.2273,0.38,0.194,4,186,49.0
110,2011-01-05,1,0,1,18,False,3,1,0.24,0.2424,0.38,0.1343,3,166,169.0
111,2011-01-05,1,0,1,19,False,3,1,0.24,0.2576,0.38,0.1045,5,127,132.0
112,2011-01-05,1,0,1,20,False,3,1,0.22,0.2273,0.47,0.1642,7,82,89.0
113,2011-01-05,1,0,1,21,False,3,1,0.2,0.197,0.51,0.194,3,40,43.0
114,2011-01-05,1,0,1,22,False,3,1,0.18,0.197,0.55,0.1343,1,41,42.0
115,2011-01-05,1,0,1,23,False,3,1,0.2,0.2576,0.47,0.0,1,18,19.0
116,2011-01-06,1,0,1,0,False,4,1,0.18,0.2424,0.55,0.0,0,11,11.0
117,2011-01-06,1,0,1,1,False,4,1,0.16,0.2273,0.64,0.0,0,4,4.0
118,2011-01-06,1,0,1,2,False,4,1,0.16,0.2273,0.64,0.0,0,2,2.0
119,2011-01-06,1,0,1,4,False,4,2,0.16,0.197,0.64,0.0896,0,1,1.0
120,2011-01-06,1,0,1,5,False,4,2,0.14,0.1818,0.69,0.0896,0,4,4.0
121,2011-01-06,1,0,1,6,False,4,2,0.14,0.1667,0.63,0.1045,0,36,36.0
122,2011-01-06,1,0,1,7,False,4,2,0.16,0.2273,0.59,0.0,0,95,95.0
123,2011-01-06,1,0,1,8,False,4,1,0.16,0.2273,0.59,0.0,3,216,49.0
124,2011-01-06,1,0,1,9,False,4,2,0.18,0.2424,0.51,0.0,6,116,122.0
125,2011-01-06,1,0,1,10,False,4,1,0.2,0.2576,0.47,0.0,3,42,45.0
126,2011-01-06,1,0,1,11,False,4,1,0.22,0.2576,0.44,0.0896,2,57,59.0
127,2011-01-06,1,0,1,12,False,4,1,0.26,0.2879,0.35,0.0,6,78,84.0
128,2011-01-06,1,0,1,13,False,4,1,0.26,0.2727,0.35,0.1045,12,55,67.0
129,2011-01-06,1,0,1,14,False,4,1,0.28,0.2727,0.36,0.1642,11,59,70.0
130,2011-01-06,1,0,1,15,False,4,1,0.28,0.2727,0.36,0.0,8,54,62.0
131,2011-01-06,1,0,1,16,False,4,1,0.26,0.2576,0.38,0.1642,12,74,86.0
132,2011-01-06,1,0,1,17,False,4,1,0.22,0.2273,0.51,0.1642,9,163,172.0
133,2011-01-06,1,0,1,18,False,4,1,0.22,0.2273,0.51,0.1343,5,158,163.0
134,2011-01-06,1,0,1,19,False,4,1,0.22,0.2576,0.55,0.0896,3,109,112.0
135,2011-01-06,1,0,1,20,False,4,1,0.2,0.2121,0.51,0.1642,3,66,69.0
136,2011-01-06,1,0,1,21,False,4,2,0.22,0.2121,0.55,0.2239,0,48,48.0
137,2011-01-06,1,0,1,22,False,4,2,0.22,0.2121,0.51,0.2836,1,51,52.0
138,2011-01-06,1,0,1,23,False,4,2,0.2,0.197,0.59,0.194,4,19,23.0
139,2011-01-07,1,0,1,0,False,5,2,0.2,0.197,0.64,0.194,4,13,17.0
140,2011-01-07,1,0,1,1,False,5,2,0.2,0.197,0.69,0.2239,2,5,7.0
141,2011-01-07,1,0,1,2,False,5,2,0.2,0.197,0.69,0.2239,0,1,1.0
142,2011-01-07,1,0,1,4,False,5,2,0.2,0.2121,0.69,0.1343,0,1,1.0
143,2011-01-07,1,0,1,5,False,5,3,0.22,0.2727,0.55,0.0,0,5,5.0
144,2011-01-07,1,0,1,6,False,5,2,0.2,0.2576,0.69,0.0,8,26,34.0
145,2011-01-07,1,0,1,7,False,5,1,0.2,0.2121,0.69,0.1343,8,76,84.0
146,2011-01-07,1,0,1,8,False,5,1,0.2,0.197,0.51,0.2537,20,190,49.0
147,2011-01-07,1,0,1,9,False,5,1,0.2,0.1818,0.47,0.2985,9,125,134.0
148,2011-01-07,1,0,1,10,False,5,1,0.22,0.197,0.37,0.3284,16,47,63.0
149,2011-01-07,1,0,1,11,False,5,2,0.2,0.197,0.4,0.2239,19,48,67.0
150,2011-01-07,1,0,1,12,False,5,2,0.2,0.197,0.37,0.2537,9,50,59.0
151,2011-01-07,1,0,1,13,False,5,2,0.2,0.1818,0.37,0.2836,9,64,73.0
152,2011-01-07,1,0,1,14,False,5,2,0.2,0.197,0.4,0.2537,7,43,50.0
153,2011-01-07,1,0,1,15,False,5,2,0.2,0.2121,0.37,0.1642,9,63,72.0
154,2011-01-07,1,0,1,16,False,5,2,0.2,0.2121,0.37,0.1642,5,82,87.0
155,2011-01-07,1,0,1,17,False,5,2,0.2,0.2576,0.37,0.0,9,178,49.0
156,2011-01-07,1,0,1,18,False,5,1,0.2,0.2273,0.4,0.0896,7,116,123.0
157,2011-01-07,1,0,1,19,False,5,1,0.16,0.197,0.55,0.0896,3,92,95.0
158,2011-01-07,1,0,1,20,False,5,1,0.18,0.2121,0.47,0.1045,1,50,51.0
159,2011-01-07,1,0,1,21,False,5,1,0.18,0.197,0.47,0.1343,0,39,39.0
160,2011-01-07,1,0,1,22,False,5,2,0.18,0.197,0.43,0.1642,2,34,36.0
161,2011-01-07,1,0,1,23,False,5,2,0.18,0.197,0.51,0.1642,1,14,15.0
162,2011-01-08,1,0,1,0,False,6,2,0.18,0.197,0.51,0.1642,1,24,25.0
163,2011-01-08,1,0,1,1,False,6,2,0.18,0.2121,0.55,0.0896,1,15,16.0
164,2011-01-08,1,0,1,2,False,6,2,0.18,0.2424,0.55,0.0,3,13,16.0
165,2011-01-08,1,0,1,3,False,6,3,0.18,0.197,0.55,0.1642,0,7,7.0
166,2011-01-08,1,0,1,4,False,6,3,0.18,0.197,0.55,0.1642,0,1,1.0
167,2011-01-08,1,0,1,5,False,6,2,0.16,0.1667,0.74,0.1642,0,5,5.0
168,2011-01-08,1,0,1,6,False,6,2,0.16,0.1667,0.74,0.1642,0,2,2.0
169,2011-01-08,1,0,1,7,False,6,2,0.16,0.1818,0.74,0.1045,1,8,9.0
170,2011-01-08,1,0,1,8,False,6,3,0.16,0.1818,0.93,0.1045,0,15,15.0
171,2011-01-08,1,0,1,9,False,6,3,0.16,0.1818,0.93,0.1045,0,20,20.0
172,2011-01-08,1,0,1,10,False,6,2,0.18,0.197,0.8,0.1642,5,56,61.0
173,2011-01-08,1,0,1,11,False,6,2,0.2,0.1818,0.69,0.3881,2,60,62.0
174,2011-01-08,1,0,1,12,False,6,2,0.2,0.1818,0.59,0.3582,8,90,98.0
175,2011-01-08,1,0,1,13,False,6,1,0.2,0.1818,0.44,0.3284,7,95,102.0
176,2011-01-08,1,0,1,14,False,6,1,0.2,0.1667,0.32,0.4925,12,83,95.0
177,2011-01-08,1,0,1,15,False,6,1,0.2,0.1667,0.32,0.4478,5,69,74.0
178,2011-01-08,1,0,1,16,False,6,1,0.18,0.1364,0.29,0.4478,8,68,76.0
179,2011-01-08,1,0,1,17,False,6,1,0.16,0.1212,0.37,0.5522,5,64,69.0
180,2011-01-08,1,0,1,18,False,6,1,0.14,0.1212,0.39,0.2985,3,52,55.0
181,2011-01-08,1,0,1,19,False,6,1,0.14,0.1212,0.36,0.2537,4,26,30.0
182,2011-01-08,1,0,1,20,False,6,1,0.12,0.1212,0.36,0.2537,0,28,28.0
183,2011-01-08,1,0,1,21,False,6,1,0.12,0.1061,0.39,0.3582,2,35,37.0
184,2011-01-08,1,0,1,22,False,6,1,0.12,0.1061,0.36,0.3881,1,33,34.0
185,2011-01-08,1,0,1,23,False,6,1,0.1,0.0606,0.39,0.4478,0,22,22.0
186,2011-01-09,1,0,1,0,False,0,1,0.1,0.0758,0.42,0.3881,1,24,25.0
187,2011-01-09,1,0,1,1,False,0,1,0.1,0.0606,0.42,0.4627,0,12,12.0
188,2011-01-09,1,0,1,2,False,0,1,0.1,0.0606,0.46,0.4627,0,11,11.0
189,2011-01-09,1,0,1,3,False,0,1,0.1,0.0758,0.46,0.4179,0,4,4.0
190,2011-01-09,1,0,1,4,False,0,1,0.08,0.0909,0.53,0.194,0,1,1.0
191,2011-01-09,1,0,1,5,False,0,1,0.08,0.0909,0.53,0.194,0,1,1.0
192,2011-01-09,1,0,1,6,False,0,1,0.1,0.0909,0.49,0.2836,0,1,1.0
193,2011-01-09,1,0,1,7,False,0,1,0.08,0.0909,0.53,0.194,1,5,6.0
194,2011-01-09,1,0,1,8,False,0,1,0.1,0.0909,0.49,0.2836,0,10,10.0
195,2011-01-09,1,0,1,9,False,0,1,0.12,0.0758,0.46,0.5224,0,19,19.0
196,2011-01-09,1,0,1,10,False,0,1,0.14,0.1061,0.43,0.3881,0,49,49.0
197,2011-01-09,1,0,1,11,False,0,1,0.16,0.1212,0.4,0.5224,2,47,49.0
198,2011-01-09,1,0,1,12,False,0,1,0.18,0.1364,0.37,0.4478,4,79,83.0
199,2011-01-09,1,0,1,13,False,0,1,0.2,0.1667,0.34,0.4478,6,69,75.0
200,2011-01-09,1,0,1,14,False,0,1,0.22,0.1818,0.32,0.4627,8,64,72.0
201,2011-01-09,1,0,1,15,False,0,1,0.22,0.197,0.35,0.3582,5,77,82.0
202,2011-01-09,1,0,1,16,False,0,1,0.2,0.1667,0.34,0.4478,13,79,92.0
203,2011-01-09,1,0,1,17,False,0,1,0.18,0.1515,0.37,0.3881,3,59,62.0
204,2011-01-09,1,0,1,18,False,0,1,0.16,0.1364,0.4,0.3284,4,44,48.0
205,2011-01-09,1,0,1,19,False,0,1,0.16,0.1364,0.43,0.3284,1,40,41.0
206,2011-01-09,1,0,1,20,False,0,1,0.14,0.1212,0.46,0.2537,0,38,38.0
207,2011-01-09,1,0,1,21,False,0,1,0.14,0.1061,0.46,0.4179,1,19,20.0
208,2011-01-09,1,0,1,22,False,0,1,0.14,0.1212,0.46,0.2985,5,10,15.0
209,2011-01-09,1,0,1,23,False,0,1,0.12,0.1364,0.5,0.194,0,6,6.0
210,2011-01-10,1,0,1,0,False,1,1,0.12,0.1212,0.5,0.2836,2,3,5.0
211,2011-01-10,1,0,1,1,False,1,1,0.12,0.1212,0.5,0.2836,1,0,1.0
212,2011-01-10,1,0,1,2,False,1,1,0.12,0.1212,0.5,0.2239,0,3,3.0
213,2011-01-10,1,0,1,3,False,1,1,0.12,0.1212,0.5,0.2239,0,1,1.0
214,2011-01-10,1,0,1,4,False,1,1,0.1,0.1212,0.54,0.1343,1,2,3.0
215,2011-01-10,1,0,1,5,False,1,1,0.1,0.1061,0.54,0.2537,0,3,3.0
216,2011-01-10,1,0,1,6,False,1,1,0.12,0.1212,0.5,0.2836,0,31,31.0
217,2011-01-10,1,0,1,7,False,1,1,0.12,0.1212,0.5,0.2239,2,75,77.0
218,2011-01-10,1,0,1,8,False,1,2,0.12,0.1212,0.5,0.2836,4,184,49.0
219,2011-01-10,1,0,1,9,False,1,2,0.14,0.1212,0.5,0.2537,2,92,94.0
220,2011-01-10,1,0,1,10,False,1,2,0.14,0.1212,0.5,0.2985,0,31,31.0
221,2011-01-10,1,0,1,11,False,1,2,0.16,0.1364,0.47,0.2836,2,28,30.0
222,2011-01-10,1,0,1,12,False,1,2,0.2,0.1818,0.4,0.2836,5,47,52.0
223,2011-01-10,1,0,1,13,False,1,2,0.2,0.1818,0.4,0.2836,4,50,54.0
224,2011-01-10,1,0,1,14,False,1,2,0.2,0.197,0.4,0.2239,0,47,47.0
225,2011-01-10,1,0,1,15,False,1,2,0.2,0.197,0.4,0.2239,2,43,45.0
226,2011-01-10,1,0,1,16,False,1,1,0.2,0.2121,0.4,0.1343,4,70,74.0
227,2011-01-10,1,0,1,17,False,1,1,0.2,0.2273,0.4,0.1045,4,174,178.0
228,2011-01-10,1,0,1,18,False,1,1,0.2,0.197,0.4,0.2239,1,154,155.0
229,2011-01-10,1,0,1,19,False,1,1,0.16,0.1667,0.47,0.1642,3,92,95.0
230,2011-01-10,1,0,1,20,False,1,1,0.16,0.1667,0.5,0.1642,1,73,74.0
231,2011-01-10,1,0,1,21,False,1,1,0.14,0.1364,0.59,0.194,1,37,38.0
232,2011-01-10,1,0,1,22,False,1,1,0.14,0.1515,0.59,0.1642,2,22,24.0
233,2011-01-10,1,0,1,23,False,1,1,0.14,0.1515,0.59,0.1642,0,18,18.0
234,2011-01-11,1,0,1,0,False,2,1,0.14,0.1667,0.59,0.1045,2,10,12.0
235,2011-01-11,1,0,1,1,False,2,1,0.14,0.1515,0.59,0.1642,0,3,3.0
236,2011-01-11,1,0,1,2,False,2,2,0.16,0.1515,0.55,0.194,0,3,3.0
237,2011-01-11,1,0,1,5,False,2,2,0.16,0.1818,0.55,0.1343,0,6,6.0
238,2011-01-11,1,0,1,6,False,2,2,0.16,0.1818,0.55,0.1343,0,27,27.0
239,2011-01-11,1,0,1,7,False,2,2,0.16,0.2273,0.55,0.0,2,97,99.0
240,2011-01-11,1,0,1,8,False,2,2,0.18,0.2121,0.51,0.0896,3,214,49.0
241,2011-01-11,1,0,1,9,False,2,2,0.18,0.197,0.51,0.1642,3,127,130.0
242,2011-01-11,1,0,1,10,False,2,2,0.2,0.2121,0.51,0.1642,3,51,54.0
243,2011-01-11,1,0,1,11,False,2,2,0.2,0.2121,0.47,0.1343,4,31,35.0
244,2011-01-11,1,0,1,12,False,2,2,0.2,0.2273,0.51,0.1045,2,55,57.0
245,2011-01-11,1,0,1,13,False,2,2,0.2,0.2273,0.59,0.0896,6,46,52.0
246,2011-01-11,1,0,1,14,False,2,2,0.2,0.2273,0.59,0.0896,3,60,63.0
247,2011-01-11,1,0,1,15,False,2,2,0.16,0.197,0.8,0.0896,2,45,47.0
248,2011-01-11,1,0,1,16,False,2,2,0.16,0.1515,0.86,0.2239,4,72,76.0
249,2011-01-11,1,0,1,17,False,2,2,0.16,0.1515,0.86,0.2239,6,130,136.0
250,2011-01-11,1,0,1,18,False,2,3,0.16,0.1818,0.93,0.1045,1,94,95.0
